,download_throughput_bps,upload_throughput_bps,rtt_download_sec,rtt_upload_sec,packet_loss_percent,packet_loss_count_n1000,0,sample_count
mean,506299565.5982927,378160721.08303213,0.04844667024128686,0.03719371581769435,1.899136598789197,18.97629462395936,,7087
median,596092745.816047,297924161.83301884,0.011549,0.010858,0.1897709169247217,2.0,,7087
var,1.1236771538793235e+17,9.08477647486546e+16,0.004604779333619299,0.004036994765848667,11.902090870526305,1190.6223564065515,,7087
std,335212940.3646768,301409629.4889309,0.06785852439907089,0.06353734937695046,3.4499407053638333,34.50539604766987,,7087
"('download_throughput_bps', 0.9)",,,,,,,908154638.1734469,7087
"('download_throughput_bps', 0.95)",,,,,,,912533137.5944659,7087
"('download_throughput_bps', 0.99)",,,,,,,925673443.1595242,7087
"('upload_throughput_bps', 0.9)",,,,,,,845212875.3035914,7087
"('upload_throughput_bps', 0.95)",,,,,,,897781484.3182275,7087
"('upload_throughput_bps', 0.99)",,,,,,,911471103.3474807,7087
"('rtt_download_sec', 0.9)",,,,,,,0.1221412,7087
"('rtt_download_sec', 0.95)",,,,,,,0.22024299999999997,7087
"('rtt_download_sec', 0.99)",,,,,,,0.23329183999999994,7087
"('rtt_upload_sec', 0.9)",,,,,,,0.11984439999999993,7087
"('rtt_upload_sec', 0.95)",,,,,,,0.21982649999999998,7087
"('rtt_upload_sec', 0.99)",,,,,,,0.23652995999999998,7087
"('packet_loss_percent', 0.9)",,,,,,,6.295003394723823,7087
"('packet_loss_percent', 0.95)",,,,,,,9.24911835312313,7087
"('packet_loss_percent', 0.99)",,,,,,,18.127856274597068,7087
"('packet_loss_count_n1000', 0.9)",,,,,,,63.0,7087
"('packet_loss_count_n1000', 0.95)",,,,,,,92.0,7087
"('packet_loss_count_n1000', 0.99)",,,,,,,181.14000000000033,7087
